Title,Price,Luas Bangunan,Luas Tanah,Kamar Tidur,Tipe Properti,Tipe Penawaran,Lokasi
Dijual rumah MINIMALIS MODERN Pakuwon City San Diego NEGO,6500000000,300,220,4,Rumah,Dijual,Surabaya
RUMAH 2 LANTAI BARU GRESS MINIMALIS - RUNGKUT ASRI DEKAT MERR KAMPUS UPN,2400000000,190,126,4,Rumah,Dijual,Surabaya
Rumah 3+1 Kamar Tidur Promo HUT Ciputra Citraland,2400000000,148,120,4,Rumah,Dijual,Surabaya
Rumah HITUNG TANAH Di KARANG ASEM Surabaya Dekat Dengan Raya Kenjeran,1250000000,220,170,5,Rumah,Dijual,Surabaya
Citraland Turun Harga Rumah Classic Siap Huni Furnished Surabaya Bar,7500000000,750,330,4,Rumah,Dijual,Surabaya
Rumah Klasik-colorfull elegant sangat terawat,6500000000,530,340,4,Rumah,Dijual,Surabaya
Rumahmewah seperti Villa,4700000000,350,225,4,Rumah,Dijual,Surabaya
Rumah Progres Bangun Di Gunungsari Indah Wiyung Surabaya,1380000000,74,96,3,Rumah,Dijual,Surabaya
Dijual Rumah baru direnovasi total diJl. Jemur Sari IV,2500000000,200,200,4,Rumah,Dijual,Surabaya
New Kutisari Rumah 2 Lantai Mewah Tengah Kota Surabaya,780000000,75,50,2,Rumah,Dijual,Surabaya
RUMAH KOST AN MODERN KONSEP KAMAR 10,999000000,60,60,10,Rumah,Dijual,Surabaya
Rumah Promo Harga di bawah 200 juta Lokasi Strategis ,199000000,36,75,2,Rumah,Dijual,Surabaya
DIJUAL RUMAH KOST KAMAR 17 DEKAT KAMPUS TERKENAL SBY,1700000000,140,140,17,Rumah,Dijual,Surabaya
RUMAH BARU SEMEMI UTARA ADA GARASINYA,270000000,42,54,2,Rumah,Dijual,Surabaya
rumah barudi Medayu UtaraRungkut Surabaya,650000000,60,105,2,Rumah,Dijual,Surabaya
Termurah Bangunan Pusat Kota Nol Jalan Raya Cocok Untuk Cafe dan Kantor,19900000000,470,889,4,Rumah,Dijual,Surabaya
Rumah Dijual Surabaya MEWAH MINIMALIS Pakuwon City Palm Beach NEGO,8500000000,400,375,4,Rumah,Dijual,Surabaya
Rumah minimalis murah area Klampis Manyar ,2500000000,170,210,4,Rumah,Dijual,Surabaya
Rumah Pusat Kota Di Gubeng Kertajaya,850000000,107,87,2,Rumah,Dijual,Surabaya
Rumah Minimalis Pakuwon City San Diego Surabaya,4000000000,260,180,4,Rumah,Dijual,Surabaya
Rumah mewah Manyar Tirto Asri Surabaya,3100000000,250,150,5,Rumah,Dijual,Surabaya
For Sale! Rumah Baru Gress Di Shanaya Puri Safira Siap Huni,625000000,57,60,2,Rumah,Dijual,Surabaya
Dijual Rumah Murah Minimalis di Gunung Anyar Rungkut Surabaya Dekat UPN Wiguna,269500000,24,28,2,Rumah,Dijual,Surabaya
Rungkut Surabaya | Rumah Baru Renovasi 90 m² SHM Medokan Ayu MERR OERR UPN,650000000,90,90,3,Rumah,Dijual,Surabaya
Dekat Akses OERR,1100000000,140,84,3,Rumah,Dijual,Surabaya
RUMAH BUKIT GOLF INTERNASIONAL CITRALAND BARU GRES MEWAH dekat JLLB clubhouse,7850000000,500,300,5,Rumah,Dijual,Surabaya
PERUMAHAN GRIYA BENOWO ASRI SURABAYA BARAT DEKAT SEMEMI,590000000,63,91,2,Rumah,Dijual,Surabaya
RUMAH MODERN KLASIK FULL FURNISHED SMARTHOME DAN PRIVATE POOL TERMURAH DI SRBYA,7000000000,500,300,4,Rumah,Dijual,Surabaya
Rumah bagus Dharmahusada Mas,5000000000,450,315,6,Rumah,Dijual,Surabaya
Dijual.Rumah 2 Lantai Grand Harvest Belvoir Surabaya ,1350000000,67,102,2,Rumah,Dijual,Surabaya
Royal Residence Surabaya Tipe Oakwood 3 Lantai,1355121306,85,46,3,Rumah,Dijual,Surabaya
Di jual Rumah Di Surabaya 2 Lantai Siap Huni Promo Termurah,499000000,56,36,2,Rumah,Dijual,Surabaya
Brand New Gress Minimalis 2 Lt Tatanan Loss Super Mewah Citraland,5800000000,400,240,5,Rumah,Dijual,Surabaya
Rumah 2 LT Siap Huni: Lokasi Istimewa: Hoek (pojokan) antara BB IV dan BB VII,2400000000,230,252,4,Rumah,Dijual,Surabaya
Rumah Murah Surabaya Perumahan Gunung anyar emas,750000000,72,80,3,Rumah,Dijual,Surabaya
perumahan murah sidoarjo dibawah 200juta dekat rencana ITS SURABAYA ,200000000,42,72,2,Rumah,Dijual,Surabaya
Jalan Biliton Luas & Strategis Dkt Sulawesi Bali Gubeng,27500000000,369,994,5,Rumah,Dijual,Surabaya
*_Dijual Rumah Minimalis Hook Babatan Pratama full furnish_* ,2788000000,220,162,5,Rumah,Dijual,Surabaya
Rumah mewah super murah full furnish dg kolam renang free smarthome,6999999000,450,300,5,Rumah,Dijual,Surabaya
JUAL MURAH !! Rumah Rungkut asri Tengah NEW GRESS dekat MERR BUTUH CEPAT,1875000000,170,94,3,Rumah,Dijual,Surabaya
dijual rumah crystal golf citraland,4000000000,300,280,3,Rumah,Dijual,Surabaya
Rumah Minimalis 0 jln raya Dekat Citraland UC PTC Surabaya Barat,850000000,78,96,4,Rumah,Dijual,Surabaya
Darmo permai timur new minimalis full furnish,2500000000,195,110,2,Rumah,Dijual,Surabaya
Rumah Murah Minimalis Maura Javana Cerme Gresik Konsep Jepang,200000000,32,60,2,Rumah,Dijual,Surabaya
DiJual Rumah di daerah Juanda Surabaya,550000000,60,120,4,Rumah,Dijual,Surabaya
Graha Natura Edenia - Jual Rugi New Minimalis Type Lavender,2300000000,125,105,2,Rumah,Dijual,Surabaya
Rumah Surabaya Timur Cicilan 5 juta Amesta Living Intiland Provest Dekat MERR,800000000,60,40,3,Rumah,Dijual,Surabaya
Rumah Baru On Progress Lokasi Bogangin Karang Pilang Surabaya Barat,650000000,58,50,3,Rumah,Dijual,Surabaya
Dijual Rumah Baru Gresssdi Citraland Utama - Surabaya Barat,3300000000,158,150,4,Rumah,Dijual,Surabaya
RUMAH BARU 2 LANTAI MANYAR KARTIKA,6500000000,600,300,7,Rumah,Dijual,Surabaya
RUMAH DARMO HARAPAN dekat Hokky swimming fitness center pusat bisnis Surabaya,11000000000,400,664,4,Rumah,Dijual,Surabaya
Rumah Baru Bendul Merisi Wonocolo Surabaya,1650000000,110,84,4,Rumah,Dijual,Surabaya
Dijual rumah 2 Lantai harga 1 lantai,1700000000,168,134,4,Rumah,Dijual,Surabaya
*‼️DIJUAL Rumah Buagus Siap Huni Tinggal Bawa Koper Graha Family‼️*,7300000000,300,249,3,Rumah,Dijual,Surabaya
Rumah siap huni di Surabaya Timur dekat dengan Stikom dan MERR,1500000000,72,105,5,Rumah,Dijual,Surabaya
RUMAH BARU GRES SOUTH EMERALD MANSION CITRALAND mewah dekat Gwalk komersial,5250000000,258,180,2,Rumah,Dijual,Surabaya
Lokasi strategis dekat supermarket Papaya,2200000000,200,135,3,Rumah,Dijual,Surabaya
Rumah mewah baru gres tengah kota lokasi ciamik harga Murmer,1753000000,101,94,5,Rumah,Dijual,Surabaya
Rumah siap huni terawat,8750000000,500,405,5,Rumah,Dijual,Surabaya
RUMAH DARMO BARU TIMUR dekat lapangan tennis tol pusat bisnis dan komersial,3800000000,300,240,5,Rumah,Dijual,Surabaya
MEWAH MURAH PERUM Gunung Anyar Kampus Univ UPN MERR Rungkut Wiguna Asri Pandugo,850000000,70,58,3,Rumah,Dijual,Surabaya
Hunian cantik minimalis dekat bandara juanda type 42/75 MURAH,230000000,42,75,2,Rumah,Dijual,Surabaya
 Rumah minimalis modern 2 lantai dekat Raya Kenjeran,975000000,100,75,3,Rumah,Dijual,Surabaya
Royal Residence Surabaya Tipe Hamlet,2347555000,126,108,3,Rumah,Dijual,Surabaya
rumah mewah lamongan gresik surabaya 0 jalan raya ( ahmad land lamongan ),350000000,38,84,2,Rumah,Dijual,Surabaya
Dijual Rumah Baru Minimalis Graha Famili Surabaya Barat,14000000000,550,345,4,Rumah,Dijual,Surabaya
Rumah northwest park bagus,700000000,72,72,1,Rumah,Dijual,Surabaya
Rumah 2 Lantai New Gress Bukit Palma Citraland ,950000000,70,60,2,Rumah,Dijual,Surabaya
Rumah murah 2lantai baru gress minimalis modern lokasi Dian Istana ,1050000000,73,50,2,Rumah,Dijual,Surabaya
Royal Residence Surabaya Tipe Philomena,4560594113,194,222,3,Rumah,Dijual,Surabaya
Rumah Baru 2 Lantai Lokasi Perum Royal Paka Gununganyar Surabaya,1250000000,96,75,3,Rumah,Dijual,Surabaya
RUMAH DIAN ISTANA PARK AVENUE BARU GRES dekat clubhouse Graha Family komersial,8800000000,400,330,5,Rumah,Dijual,Surabaya
New BRAND The Luxury Home di cluster favorit Citraland,5800000000,400,240,5,Rumah,Dijual,Surabaya
Citraland Puri Widya Kencana Perlu sedikit DiRenovasi,3500000000,260,210,4,Rumah,Dijual,Surabaya
Royal Residence Surabaya Tipe Serenade 3 Lantai,1605309262,95,50,3,Rumah,Dijual,Surabaya
Amesta Living di Nol Jalan OERR. ,860000000,60,60,3,Rumah,Dijual,Surabaya
Rumah Murah 2 Lantai dengan 2 KT dan 2 KM di Kutisari Surabaya Pusat ,815000000,75,50,2,Rumah,Dijual,Surabaya
Royal Residence Surabaya Tipe Laura,5657575000,311,240,4,Rumah,Dijual,Surabaya
MURAH POLL RUMAH KOST LOKASI DEKAT KAMPUS FAVORIT,1500000000,120,120,15,Rumah,Dijual,Surabaya
RUMAH IMPERIAL GOLF PAKUWON INDAH MEWAH BARU GRES SWIMMING POOL dekat clubhouse,17000000000,800,525,7,Rumah,Dijual,Surabaya
DIJUAL RUMAH MINIMALIS MEWAH PAKUWON CITY Surabaya,15500000000,620,450,6,Rumah,Dijual,Surabaya
RUMAH OAKWOOD CITRALAND BARU GRES FULL FURNISHED dekat pasar Citralandkomersial,1800000000,95,72,3,Rumah,Dijual,Surabaya
Jual Amesta Living Surabaya 800jtan,800000000,63,50,3,Rumah,Dijual,Surabaya
Royal Residence Surabaya Tipe Oakwood 2 Lantai,1160187525,60,48,2,Rumah,Dijual,Surabaya
Royal Residence Surabaya Tipe Javelin,2855555000,150,133,3,Rumah,Dijual,Surabaya
RUMAH SIAP HUNI HITUNG TANAH DARMO HARAPAN dekat Hokky Swimming fitness center,4000000000,400,330,6,Rumah,Dijual,Surabaya
RUMAH MEWAH 2 LANTAI DENGAN KOLAM RENANG PRIBADI TERMURAH DI SURABAYA,4500000000,500,358,6,Rumah,Dijual,Surabaya
DiJual Rumah Murah daerah Benowo Surabaya,460000000,50,76,2,Rumah,Dijual,Surabaya
MEWAH MURAH PERUM TMS Tenggilis Mejoyo Selatan | Kendangsari Jemursari,1390000000,106,90,4,Rumah,Dijual,Surabaya
*Dijual/DISEWAKAN RUMAH Villa Valencia Pakuwon*,5500000000,250,300,4,Rumah,Dijual,Surabaya
RUMAH DARMO HARAPAN HOOK dekat Hokky swimming fitness pusat bisnis Surabaya,9000000000,600,449,4,Rumah,Dijual,Surabaya
Dijual rumah mewah Classic di villa Valencia surabaya Barat,5500000000,299,291,4,Rumah,Dijual,Surabaya
DIJUAL/DISEWAKAN MURAH RUMAH ELIT,1944444449,240,240,4,Rumah,Dijual,Surabaya
Rumah mewah,16000000000,457,667,4,Rumah,Dijual,Surabaya
JUAL RUMAH CITRALAND UTARA,1160000000,100,120,3,Rumah,Dijual,Surabaya
Jual Rumah 2 lantai Siap Huni Candi Lontar Suabaya,1700000000,176,136,3,Rumah,Dijual,Surabaya
RUMAH 2LT BANGUNAN ISTIMEWA DIJAMIN LANGSUNG SUKA LOKASI GAYUNGSARI BARAT,2200000000,150,94,5,Rumah,Dijual,Surabaya
RUMAH OAKWOOD CITRALAND BARU GRES FULL FURNISHED dekat pasar Citralandkomersial,3998590909,232,170,4,Rumah,Dijual,Surabaya
Royal Residence Surabaya Tipe Napoli,3315555000,195,144,3,Rumah,Dijual,Surabaya
Dijual Rumah Murah Siap Huni Citra Harmoni Citraland Krian Sidoarjo,950000000,70,120,2,Rumah,Dijual,Surabaya
Rumah Minimalis 2 Lantai 3 Kamar Siap Huni Manukan Surabaya Barat,995000000,80,60,3,Rumah,Dijual,Surabaya
Rumah Hitung Tanah,2250000000,200,300,4,Rumah,Dijual,Surabaya
Dijual Cepat Rumah Minimalis Di Bukit Golf International Citraland -VI,6500000000,360,300,6,Rumah,Dijual,Surabaya
Rumah Baru 2 Lantai Lokasi Perum Royal Paka Gununganyar Surabaya,1250000000,96,75,3,Rumah,Dijual,Surabaya
RUMAH VILLA BUKIT REGENCY 3 PAKUWON INDAH BARU GRES dekat mall pusat bisnis,7650000000,400,276,4,Rumah,Dijual,Surabaya
Rumah Raya Trunojoyo daerah Darmo. Cocok untuk cafe atau resto,17500000000,300,440,5,Rumah,Dijual,Surabaya
RUMAH THE MANSION PAKUWON INDAH FULL FURNISHED dekat clubhouse mall komersial,6500000000,236,265,4,Rumah,Dijual,Surabaya
Rumah super elegan luxury main road di darmo hill surabaya Barat,14000000000,500,476,5,Rumah,Dijual,Surabaya
Rumah Pusat Kota Jl Embong Kemiri Surabaya,13000000000,440,476,6,Rumah,Dijual,Surabaya
Royal Residence Surabaya Tipe Serenade 2 Lantai,1273299262,65,50,2,Rumah,Dijual,Surabaya
Termurah Rumah Mewah 2 Lt American Classic Pakuwon City Dekat Kondisi Terawat,6899999999,300,345,4,Rumah,Dijual,Surabaya
RUMAH DIAN ISTANA PARK AVENUE FULL FURNISHED siap huni dekat clubhousekomersial,5500000000,234,246,5,Rumah,Dijual,Surabaya
Rumah mewah strategis Imam Bonjol Surabaya,32000000000,300,730,6,Rumah,Dijual,Surabaya
Rumah Pojok Artistik Full Furnished di Pakuwon City,4800000000,790,240,5,Rumah,Dijual,Surabaya
Rumah Minimalis Modern LUX Bukit Golf International Citraland,21500000000,258,603,4,Rumah,Dijual,Surabaya
Rumah mewah elegan di south emerald mansion citraland SBY barat,5250000000,1100,180,6,Rumah,Dijual,Surabaya
Rumah Mewah Siap Huni Dekat Ampel &amp; Tol Perak Surabaya Utara,1800000000,140,72,3,Rumah,Dijual,Surabaya
RUMAH INTERNATIONAL VILLAGE CITRALAND BARU GRES FURNISHED dekat Gwalk komersial,7600000000,440,280,4,Rumah,Dijual,Surabaya
Wisma Kedung Asem Indah daerah MERR Surabaya,900000000,54,72,2,Rumah,Dijual,Surabaya
Rumah Minimalis di Long BeachPakuwon City,3300000000,144,145,4,Rumah,Dijual,Surabaya
Rumah Baru Gress New Minimalis Citraland Design Mewah Surabaya,46000000000,1400,900,5,Rumah,Dijual,Surabaya
Rumah 2 Lantai Di Tengah Kota Surabaya,1100000000,80,40,3,Rumah,Dijual,Surabaya
For Sale Rumah Simpang Darmo,2500000000,200,135,3,Rumah,Dijual,Surabaya
Rumah dijual Surabaya SUPER MEWAH Surabaya Timur Grand Kenjeran RASA VILLA,4000000000,255,142,4,Rumah,Dijual,Surabaya
Turun Harga Owner Butuh Uang Dijual Rumah harga hitung di kertajaya Indah Timur,6000000000,400,300,4,Rumah,Dijual,Surabaya
Rumah Baru Minimalis di Medokan Asri,1350000000,100,84,3,Rumah,Dijual,Surabaya
Rumah Usaha di Raya Barata Jaya,6800000000,322,322,3,Rumah,Dijual,Surabaya
Hunian mewah style Classic Dubai di Gayungsari timur SBY selatan ,7700000000,500,300,5,Rumah,Dijual,Surabaya
Hunian premium ekclusive di graha Family surabaya barat,39000000000,1400,975,4,Rumah,Dijual,Surabaya
Hunian luxury style Classic Mediterania di selat golf citraland surabaya ,8000000000,680,300,5,Rumah,Dijual,Surabaya
New minimalis Dian Istana Park Avenue,8800000000,400,330,5,Rumah,Dijual,Surabaya
"Magnolia of Citraland ""The Singapore Of Surabaya""",6599000000,338,264,5,Rumah,Dijual,Surabaya
Rumah dijual Surabaya Pakuwon City cluster San Antonio LUX MODERN NEGO,6500000000,360,264,4,Rumah,Dijual,Surabaya
Dijual Rumah Margorejo Indah Surabaya,5000000000,250,313,3,Rumah,Dijual,Surabaya
Dijual rumah jl Ayani 0 jl raya cocok buat usaha ,40000000000,800,1000,4,Rumah,Dijual,Surabaya
RUMAH VILLA BUKIT REGENCY 3 PAKUWON INDAH BARU GRES dekat mall pusat bisnis,8900000000,475,300,4,Rumah,Dijual,Surabaya
RUMAH VILLA BUKIT REGENCY 3 PAKUWON INDAH BARU GRES dekat mall pusat bisnis,8650000000,475,300,4,Rumah,Dijual,Surabaya
RUMAH RAFFLES GARDEN CITRALAND BARU RENOVASI MINIMALIS dekat Gwalk komersial,4600000000,280,200,4,Rumah,Dijual,Surabaya
RUMAH DARMO HARAPAN BARU RENOVASI dekat Superindo Hokky swimming fitness cente,9500000000,230,800,4,Rumah,Dijual,Surabaya
Dijual rumah murah surabaya timur,500000000,36,50,2,Rumah,Dijual,Surabaya
DIJUAL RUMAH GRESS MINIMALIS SANGAT BU,3200000000,158,135,4,Rumah,Dijual,Surabaya
Rumahmurahsurabayatimur,500000000,36,50,2,Rumah,Dijual,Surabaya
Dijual Rumah Mewah & Murah Di Timur Surabaya,1200000000,155,147,6,Rumah,Dijual,Surabaya
Rumah Mewah Harga Murah Di Graha Famili Surabaya,13500000000,650,766,5,Rumah,Dijual,Surabaya
Rumah 2Lantai Di Puri Galaxy Bagus Hook,10500000000,600,500,4,Rumah,Dijual,Surabaya
 Rumah Sidotopo Wetan Baru ROW JALAN TRUCK BISA MASUK,1300000000,99,99,2,Rumah,Dijual,Surabaya
Dijual Rumah Semolowaru Strategis Siap Huni ,1300000000,160,102,4,Rumah,Dijual,Surabaya
Rumah 2Lantai Siap Huni Lokasi Strategis Dkt Kmpus ITS Keputih Sukolilo Surabaya,415000000,50,28,2,Rumah,Dijual,Surabaya
Rumah gunung anyar emas,1300000000,220,200,4,Rumah,Dijual,Surabaya
Jl. Nias -Dekat Dengan Raya Gubeng & Biliton Commercial Area,13000000000,374,525,3,Rumah,Dijual,Surabaya
(BLHN) JUAL CEPAT RUMAH BAGUS Raya Gubeng Tengah Kota,35000000000,400,463,3,Rumah,Dijual,Surabaya
Rumah Tenggilis Mejoyo Selatan Cocok untuk kost-kostan,2200000000,175,200,4,Rumah,Dijual,Surabaya
Rumah Strategis Jl. Gubeng Kertajaya Surabaya,6000000000,350,600,5,Rumah,Dijual,Surabaya
Rumah Jual di Biliton,20000000000,319,545,5,Rumah,Dijual,Surabaya
Dijual/Sewa Rumah Jl.Musi Pusat Kota Kami Spesialis Surabaya Pusat.,35000000000,420,851,7,Rumah,Dijual,Surabaya
Rumah Dijual Darmo Harapan Surabaya KT,4500000000,270,400,5,Rumah,Dijual,Surabaya
Rumah Dharmahusada Indah Utara STRATEGIS MINIMALIS garasi carport ,2000000000,118,180,3,Rumah,Dijual,Surabaya
Dijual Rumah Rungkut Barata,1800000000,260,324,4,Rumah,Dijual,Surabaya
RUMAH MURAH HOOK RUNGKUT MAPAN TENGAH SURABAYA,1435000000,100,168,5,Rumah,Dijual,Surabaya
*For Sale**RUMAH MEWAH MINIMALIS GRAHA FAMILY*,30000000000,1208,726,6,Rumah,Dijual,Surabaya
Dijual Rumah International Village,6000000000,400,280,5,Rumah,Dijual,Surabaya
Dijual Rumah Baru Gress Sutorejo Prima Utara Surabaya Timur,3450000000,300,135,4,Rumah,Dijual,Surabaya
Dijual Cepat Rumah Griya Babatan Mukti Wiyung Surabaya Barat,1200000000,130,90,5,Rumah,Dijual,Surabaya
