"id_produk","Title","Price","Luas_Bangunan","Luas_Tanah","Kamar_Tidur","Tipe_Properti","Tipe_Penawaran","Lokasi"
"1","Vila Batu Panderman Hill 400jutaan","421000000","60","60","3","Rumah","Dijual","Batu"
"2","Villa Mewah 3 Lantai + Kolam renang di Rooftop Kota Batu","899000000","100","70","3","Rumah","Dijual","Batu"
"3","VILLA MEWAH KOTA BATU TERMURAHFREE BIAYA LEGALITAS LOKASI AMAN & NYAMAN ","550000000","55","66","2","Rumah","Dijual","Batu"
"4","RUMAH MURAH DEKAT UMM 3 NOL JALAN RAYA MALANG","500000000","45","70","2","Rumah","Dijual","Batu"
"5","The New Cluster Free Private Pool Griya Aswattha Kota Batu","614000000","65","87","3","Rumah","Dijual","Batu"
"6","VILLA MEWAH ROOF GARDEN KOTA BATU VIEW MENAWAN LOKASI STRATEGIS 1 MENIT KE BNS","1100000000","100","85","2","Rumah","Dijual","Batu"
"7","Rumah villa diBatu 3 lantai+rooftop dengan pemandangan gunung serta city light","910000000","90","68","4","Rumah","Dijual","Batu"
"8","Villa 2 lantai termurah 500 jt an di batu dekat wisata Bns  jatim park","550000000","55","66","2","Rumah","Dijual","Batu"
"9","PROMO MURAH !! Hunian Villa 2 Lantai Kota Batu VIEW INDAH 360 derajat Pegunungan","577500000","67","88","3","Rumah","Dijual","Batu"
"10","THE PREMIERE ASSALAM 2 LANTAI KOLAM RENANG PRIVAT","599000000","55","50","2","Rumah","Dijual","Batu"
"11","Di Jual Villa daerah Batu Malang dengan Harga Murah","600000000","91","151","3","Rumah","Dijual","Batu"
"12","Vila Batu de Terrace Villas","1388000000","115","120","3","Rumah","Dijual","Batu"
"13","PROMO RUMAH MURAH KONSEP VILLA DI KOTA BATU","350000000","45","60","2","Rumah","Dijual","Batu"
"14","Rumah Murah di Kota Batu ","350000000","36","57","2","Rumah","Dijual","Batu"
"15","Tipe 55/90 Dekat Kota Batu dan Dekat Jl Raya Karangploso|Lowokwaru","300000000","55","90","2","Rumah","Dijual","Batu"
"16","Rumahvilla murah dkota Batu","600000000","65","87","3","Rumah","Dijual","Batu"
"17","The Villa Amartahills di kota batu","2147483647","157","225","3","Rumah","Dijual","Batu"
"18"," Beli Rumah BONUS Pemandangan indah Udara bersih dan sejuk di Batu","700000000","70","68","3","Rumah","Dijual","Batu"
"19","SPESIAL HARGA OKTOBER HUNIAN MODERN KOTA BATU HEMAT HINGGA 100Juta.an","650000000","65","87","3","Rumah","Dijual","Batu"
"20","Miliki Passive Income 30jt/Bulan dari Pico Frio.","1300000000","128","80","3","Rumah","Dijual","Batu"
"21","Vila batu privatepool ","1400000000","130","105","4","Rumah","Dijual","Batu"
"22","Rumah murah di Batu Malang dekat Kampus UMM","813000000","80","84","3","Rumah","Dijual","Batu"
"23","Villa baru dengan perabot di kota Batu","2147483647","130","178","3","Rumah","Dijual","Batu"
"24","Dijual Villa Cantik & Mewah Di Metro Batu","2147483647","350","273","5","Rumah","Dijual","Batu"
"25","Hunian Villa Kota Batu (2 Lantai) cuma 421 juta type 60/60 Lokasi Strategis","421000000","60","60","3","Rumah","Dijual","Batu"
"26","Villa Rayya Batu kolam renang","695000000","65","72","2","Rumah","Dijual","Batu"
"27","Rumah Villa Tengah Kota Batu View Gunung","710000000","65","63","3","Rumah","Dijual","Batu"
"28","[DIREKOMENDASIKAN] VILLA MEMUKAU HARGA TERJANGKAU PANDERMAN TEANTAU","1400000000","80","90","3","Rumah","Dijual","Batu"
"29","RUMAH DI Perumahan  jl dadap tulis batu.","20000000","45","94","2","Rumah","Dijual","Batu"
"30","Rumah bagus strategis siap huni di Perumahan Puri Indah Batu","17500000","130","130","2","Rumah","Dijual","Batu"
"31","sewa villa murah di batu malang ","500","180","180","4","Rumah","Dijual","Batu"
"32","vila 2 lantai siap disewa di kusuma estate kota batu","150000000","155","170","3","Rumah","Dijual","Batu"
"33","Rumah Villa di Kusuma Agro Wisata Batu","17000000","300","400","3","Rumah","Dijual","Batu"
"34","Disewakan villa 2 lantai di jl.gandaria panderman hill kota batu","5000000","200","200","4","Rumah","Dijual","Batu"
"35","Rumah kontrakan murah siap huni di Oro Oro Ombo Batu","400000000","140","150","2","Rumah","Dijual","Batu"
"36","Villa Santika Super Luas di Daerah Batu","350000000","500","3000","4","Rumah","Dijual","Batu"
"37","Rumah di jalan Melati Batu","17500000","100","100","3","Rumah","Dijual","Batu"
"38","Villa Harian Murah Di Villa Kwb 2 Songgoriti Kota Batu","3800000","300","570","3","Rumah","Dijual","Batu"
"39","rumah beji junrejo siap di tempati","3500000","84","120","3","Rumah","Dijual","Batu"
"40","Rumah sewa murah siap huni di Perum Puri Indah Beji Batu","4000000","130","130","2","Rumah","Dijual","Batu"
"41","Vila kolam renang batu","40000000","300","630","3","Rumah","Dijual","Batu"
"42","Villa Murah dan Nyaman view cantik di kota Batu","3000000","54","78","3","Rumah","Dijual","Batu"
"43","Disewakan Villa Bagus dan murah 4 kamar di Villa Batu Permai Songgoriti","600000000","300","668","4","Rumah","Dijual","Batu"
"44","Harga Weekend Murah Villa Plus Kolam Renang Di Kota Batu","800000000","300","135","7","Rumah","Dijual","Batu"
"45","Vila kolam renang pinus batu","17000000","500","500","5","Rumah","Dijual","Batu"
"46","Rumah 15 Lantai di Jl Ikan Paus Lokasi Strategis Dekat Suhat","250","230","197","5","Rumah","Dijual","Batu"
"47","Villa Murah Design Minimalis dan Nyaman di Kota Batu","200000000","300","135","7","Rumah","Dijual","Batu"
"48","villa ekslusive murah disewakan di kawasan wisata kota batu","150000000","250","4000","5","Rumah","Dijual","Batu"
"49","rumah murah jlabdul gani kota batu","4000000","100","50","4","Rumah","Dijual","Batu"
"50","rumah murah 2 lantai kora batu","4000000","125","145","3","Rumah","Dijual","Batu"
"51","Disewakan Harian Villa Kusuma Pinus Villa Bagus Dan Nyaman Dengan View Yg Menawandan ...","3500000","300","135","7","Rumah","Dijual","Batu"
"52","Villa harian murah 5 kamar di Villa KWB 3 songgoriti Batu","17500000","700","570","5","Rumah","Dijual","Batu"
"53","Villa super murah 4 kamar tidur di kawasan Songgoriti Kota Batu","350000000","300","668","4","Rumah","Dijual","Batu"
"54","Disewakan harian villa murah 5 kamar di Villa KWB 3 Kota Batu","17500000","700","570","5","Rumah","Dijual","Batu"
"55","disewakan villa 2 lantai istimewa di jl ananas kota batu","150000000","300","200","3","Rumah","Dijual","Batu"
"56","Harga Weekend Murah Villa Plus Kolam Renang Di Kota Batu","40000000","300","135","7","Rumah","Dijual","Batu"
"57","Villa Murah Design Minimalis dan Nyaman di Kota Batu","200000000","300","135","7","Rumah","Dijual","Batu"
"58","Rumah bagus strategis siap huni di Perumahan Puri Indah Batu","40000000","130","130","2","Rumah","Dijual","Batu"
"59","rumah beji junrejo siap di tempati","20000000","84","120","3","Rumah","Dijual","Batu"
"60","Rumah sewa murah siap huni di Perum Puri Indah Beji Batu","35000000","130","130","2","Rumah","Dijual","Batu"
"61","Villa Kusuma Agro 2 lantai lengkap furnish kondisi terawat","35000000","300","400","3","Rumah","Dijual","Batu"
"62","RUMAH MINIMALIS FULL FURNISH SIAP HUNI DI GRIYA TAMAN ASRI LOKASI SEJUK","55000000","70","115","3","Rumah","Dijual","Batu"
"63","Ruko Murah Super Strategis Di Poros Jalan Raya Junrejo Kota Batu","1700000000","55","800","2","Rumah","Dijual","Batu"
"64","RUMAH KONSEP VILLA FULL FURNISHED DI VILLA KUSUMA PINUS DEKAT TEMPAT WISATA","50000000","110","84","2","Rumah","Dijual","Batu"
"65","Rumah bersih dgn view gunung sejuk aman pinggir jln raya dekat Jatim park3","45000000","150","100","3","Rumah","Dijual","Batu"
"66","Rumah Di Tirtasani dekat Tol Karanglo Baru Renovasi Siap Huni","85000000","150","144","3","Rumah","Dijual","Batu"
"67","Rumah DI Perum Tirtasani Royal River. Rumah minimalis nyaman dekat Tol Karanglo","45000000","200","144","3","Rumah","Dijual","Batu"
"68","Sewa rumah tirtasani malang karangploso","25000000","119","165","5","Rumah","Dijual","Batu"
"69","Di Jual Rumah Paling Murah di Pinggir Jalan Karangploso Malang","55000000","260","433","4","Rumah","Dijual","Batu"
"70","Rumah Minimalis 3 Lantai Posisi Hook di Karanglo Malang (IH-L010-GUN)","85000000","36","180","4","Rumah","Dijual","Batu"
"71","Rumah Minimalis Full Furnished Green Hills Karangploso (KM-66/LIV)","29000000","410","96","2","Rumah","Dijual","Batu"
